time,N1,N2,N3,N4,N5,N6,N7,N8,
0,4.20,5.60,15.40,1.40,9.80,8.40,9.80,15.40
1,4.20,5.59,15.38,1.40,9.79,8.39,9.79,15.38
2,4.18,5.58,15.33,1.39,9.76,8.36,9.76,15.33
3,4.16,5.55,15.25,1.39,9.70,8.32,9.70,15.25
4,4.13,5.50,15.13,1.38,9.63,8.26,9.63,15.13
5,4.09,5.45,14.99,1.36,9.54,8.18,9.54,14.99
6,4.04,5.39,14.81,1.35,9.42,8.08,9.42,14.81
7,3.98,5.31,14.60,1.33,9.29,7.97,9.29,14.60
8,3.92,5.23,14.37,1.31,9.14,7.84,9.14,14.37
9,3.85,5.13,14.11,1.28,8.98,7.70,8.98,14.11
10,3.77,5.03,13.83,1.26,8.80,7.54,8.80,13.83
11,3.69,4.92,13.52,1.23,8.61,7.38,8.61,13.52
12,3.60,4.80,13.20,1.20,8.40,7.20,8.40,13.20
13,3.51,4.68,12.86,1.17,8.18,7.01,8.18,12.86
14,3.41,4.55,12.50,1.14,7.96,6.82,7.96,12.50
15,3.31,4.41,12.14,1.10,7.72,6.62,7.72,12.14
16,3.21,4.28,11.76,1.07,7.49,6.42,7.49,11.76
17,3.10,4.14,11.38,1.03,7.24,6.21,7.24,11.38
18,3.00,4.00,11.00,1.00,7.00,6.00,7.00,11.00
19,2.90,3.86,10.62,0.97,6.76,5.79,6.76,10.62
20,2.79,3.72,10.24,0.93,6.51,5.58,6.51,10.24
21,2.69,3.59,9.86,0.90,6.28,5.38,6.28,9.86
22,2.59,3.45,9.50,0.86,6.04,5.18,6.04,9.50
23,2.49,3.32,9.14,0.83,5.82,4.99,5.82,9.14
24,2.40,3.20,8.80,0.80,5.60,4.80,5.60,8.80
25,2.31,3.08,8.48,0.77,5.39,4.62,5.39,8.48
26,2.23,2.97,8.17,0.74,5.20,4.46,5.20,8.17
27,2.15,2.87,7.89,0.72,5.02,4.30,5.02,7.89
28,2.08,2.77,7.63,0.69,4.86,4.16,4.86,7.63
29,2.02,2.69,7.40,0.67,4.71,4.03,4.71,7.40
30,1.96,2.61,7.19,0.65,4.58,3.92,4.58,7.19
31,1.91,2.55,7.01,0.64,4.46,3.82,4.46,7.01
32,1.87,2.50,6.87,0.62,4.37,3.74,4.37,6.87
33,1.84,2.45,6.75,0.61,4.30,3.68,4.30,6.75
34,1.82,2.42,6.67,0.61,4.24,3.64,4.24,6.67
35,1.80,2.41,6.62,0.60,4.21,3.61,4.21,6.62
36,1.80,2.40,6.60,0.60,4.20,3.60,4.20,6.60
37,1.80,2.41,6.62,0.60,4.21,3.61,4.21,6.62
38,1.82,2.42,6.67,0.61,4.24,3.64,4.24,6.67
39,1.84,2.45,6.75,0.61,4.30,3.68,4.30,6.75
40,1.87,2.50,6.87,0.62,4.37,3.74,4.37,6.87
41,1.91,2.55,7.01,0.64,4.46,3.82,4.46,7.01
42,1.96,2.61,7.19,0.65,4.58,3.92,4.58,7.19
43,2.02,2.69,7.40,0.67,4.71,4.03,4.71,7.40
44,2.08,2.77,7.63,0.69,4.86,4.16,4.86,7.63
45,2.15,2.87,7.89,0.72,5.02,4.30,5.02,7.89
46,2.23,2.97,8.17,0.74,5.20,4.46,5.20,8.17
47,2.31,3.08,8.48,0.77,5.39,4.62,5.39,8.48
48,2.40,3.20,8.80,0.80,5.60,4.80,5.60,8.80
49,2.49,3.32,9.14,0.83,5.82,4.99,5.82,9.14
